date,signal_value
2026-07-31,96986.65
2026-08-01,97061.85
2026-08-01,97333.65
2026-08-01,97317.21
2026-08-01,97287.72
2026-08-01,97532.45
2026-08-01,97240.11
2026-08-01,97184.89
2026-08-01,96910.52
2026-08-01,96395.8
2026-08-01,95839.56
2026-08-01,96306.58
2026-08-01,96160.04
2026-08-01,95557.5
2026-08-01,95430.09
2026-08-01,95333.59
2026-08-01,95959.06
2026-08-01,95763.39
2026-08-01,95884.92
2026-08-01,95419.91
2026-08-01,95431.99
2026-08-01,95342.96
2026-08-01,95119.0
2026-08-01,95112.98
2026-08-01,95103.68
2026-08-02,95419.87
2026-08-02,95510.91
2026-08-02,96308.15
2026-08-02,96041.42
2026-08-02,95690.17
2026-08-02,95612.25
2026-08-02,95896.98
2026-08-02,95744.05
2026-08-02,95252.79
2026-08-02,95984.73
2026-08-02,95478.55
2026-08-02,95152.33
2026-08-02,95590.11
2026-08-02,95865.96
2026-08-02,96119.26
2026-08-02,96004.93
2026-08-02,95609.37
2026-08-02,95757.72
2026-08-02,96284.13
2026-08-02,96085.24
2026-08-02,96252.29
2026-08-02,96311.32
2026-08-02,96347.37
2026-08-02,95887.26
2026-08-03,95846.05
2026-08-03,95964.24
2026-08-03,95509.02
2026-08-03,95598.54
2026-08-03,95380.74
2026-08-03,95672.55
2026-08-03,95308.19
2026-08-03,94951.43
2026-08-03,94898.5
2026-08-03,94566.22
2026-08-03,94745.46
2026-08-03,94804.6
2026-08-03,94846.95
2026-08-03,94824.33
2026-08-03,95118.49
2026-08-03,95155.62
2026-08-03,95072.23
2026-08-03,95219.68
2026-08-03,95712.45
2026-08-03,95834.1
2026-08-03,95187.87
2026-08-03,95550.82
2026-08-03,95668.37
2026-08-03,95608.47
2026-08-03,95508.93
2026-08-04,95136.71
2026-08-04,95445.77
2026-08-04,95507.29
2026-08-04,95104.82
2026-08-04,95351.18
2026-08-04,95764.99
2026-08-04,95460.95
2026-08-04,95011.33
2026-08-04,95405.69
2026-08-04,94957.24
2026-08-04,94972.38
2026-08-04,95274.25
2026-08-04,94826.42
2026-08-04,94778.02
2026-08-04,94916.01
2026-08-04,94580.61
2026-08-04,94389.39
2026-08-04,94367.39
2026-08-04,94754.77
2026-08-04,94436.87
2026-08-04,94572.04
2026-08-04,94384.22
2026-08-04,94410.24
2026-08-04,94135.69
2026-08-05,94037.31
2026-08-05,94596.69
2026-08-05,94711.23
2026-08-05,94822.33
2026-08-05,94825.62
2026-08-05,94660.68
2026-08-05,94954.55
2026-08-05,95136.05
2026-08-05,95437.87
2026-08-05,94961.36
2026-08-05,94840.2
2026-08-05,94718.27
2026-08-05,95132.23
2026-08-05,95454.39
2026-08-05,94636.06
2026-08-05,94615.47
2026-08-05,95396.86
2026-08-05,95779.6
2026-08-05,95906.03
2026-08-05,95991.36
2026-08-05,95844.8
2026-08-05,95723.42
2026-08-05,95659.3
2026-08-05,95208.58
2026-08-06,95456.54
2026-08-06,95269.67
2026-08-06,95461.93
2026-08-06,95371.28
2026-08-06,95046.11
2026-08-06,94832.06
2026-08-06,94627.05
2026-08-06,94350.93
2026-08-06,93700.89
2026-08-06,93615.56
2026-08-06,93729.0
2026-08-06,93690.75
2026-08-06,93463.39
2026-08-06,92797.56
2026-08-06,92819.86
2026-08-06,92954.04
2026-08-06,93334.75
2026-08-06,93272.6
2026-08-06,93178.91
2026-08-06,92726.45
2026-08-06,92658.08
2026-08-06,92956.49
2026-08-06,92917.64
2026-08-06,92751.3
2026-08-07,93645.03
2026-08-07,94001.58
2026-08-07,93574.29
2026-08-07,93484.83
2026-08-07,93347.86
2026-08-07,93122.18
2026-08-07,93161.89
2026-08-07,93183.66
2026-08-07,93702.48
2026-08-07,93547.54
2026-08-07,93625.0
2026-08-07,93686.06
2026-08-07,93690.06
2026-08-07,93806.17
2026-08-07,93689.96
2026-08-07,93574.93
2026-08-07,93153.72
2026-08-07,93055.92
2026-08-07,92936.6
2026-08-07,93211.91
2026-08-07,93178.12
2026-08-07,93111.86
2026-08-07,92872.36
2026-08-07,93058.76
2026-08-08,92936.21
2026-08-08,93418.89
2026-08-08,93301.78
2026-08-08,93776.16
2026-08-08,93830.88
2026-08-08,93691.21
