rank,account,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,value_inr,cash_inr,holdings_inr,realized_pnl_inr,trades
97,acc_097,30.0,68.0,12.0,1.0,50.0,10000.0,10000.0,0,0.0,0
98,acc_098,30.0,72.0,3.0,1.5,50.0,10000.0,10000.0,0,0.0,0
99,acc_099,30.0,72.0,4.0,2.0,50.0,10000.0,10000.0,0,0.0,0
100,acc_100,30.0,72.0,5.0,3.0,40.0,10000.0,10000.0,0,0.0,0
101,acc_101,30.0,72.0,8.0,1.0,40.0,10000.0,10000.0,0,0.0,0
102,acc_102,30.0,72.0,10.0,1.5,30.0,10000.0,10000.0,0,0.0,0
103,acc_103,30.0,72.0,12.0,2.0,30.0,10000.0,10000.0,0,0.0,0
104,acc_104,30.0,76.0,3.0,3.0,30.0,10000.0,10000.0,0,0.0,0
105,acc_105,30.0,76.0,5.0,1.0,20.0,10000.0,10000.0,0,0.0,0
106,acc_106,30.0,76.0,6.0,1.5,20.0,10000.0,10000.0,0,0.0,0
107,acc_107,30.0,76.0,8.0,2.0,20.0,10000.0,10000.0,0,0.0,0
108,acc_108,30.0,76.0,10.0,2.0,60.0,10000.0,10000.0,0,0.0,0
109,acc_109,30.0,76.0,12.0,3.0,60.0,10000.0,10000.0,0,0.0,0
110,acc_110,30.0,80.0,4.0,1.0,50.0,10000.0,10000.0,0,0.0,0
111,acc_111,30.0,80.0,5.0,1.5,50.0,10000.0,10000.0,0,0.0,0
112,acc_112,30.0,80.0,6.0,2.0,50.0,10000.0,10000.0,0,0.0,0
113,acc_113,30.0,80.0,8.0,3.0,40.0,10000.0,10000.0,0,0.0,0
114,acc_114,30.0,80.0,12.0,1.0,40.0,10000.0,10000.0,0,0.0,0
115,acc_146,36.0,64.0,6.0,2.0,20.0,9968.02,4098.72,5869.3,0.0,4
116,acc_159,36.0,72.0,10.0,2.0,20.0,9968.02,4098.72,5869.3,0.0,4
117,acc_119,33.0,64.0,10.0,1.5,20.0,9961.98,6403.71,3558.27,0.0,2
118,acc_120,33.0,64.0,12.0,2.0,20.0,9961.98,6403.71,3558.27,0.0,2
119,acc_132,33.0,76.0,3.0,1.5,20.0,9961.98,6403.71,3558.27,0.0,2
120,acc_133,33.0,76.0,4.0,2.0,20.0,9961.98,6403.71,3558.27,0.0,2
121,acc_174,40.0,64.0,5.0,3.0,60.0,9957.34,641.11,9316.23,0.0,3
122,acc_187,40.0,72.0,8.0,3.0,60.0,9957.34,641.11,9316.23,0.0,3
123,acc_200,40.0,80.0,12.0,3.0,60.0,9957.34,641.11,9316.23,0.0,3
