date,acc_418,acc_399,acc_300,acc_122,acc_317,acc_475,acc_296,acc_157,acc_101,acc_125,hodl
2026-08-01,9730.28,9730.28,9719.79,10102.68,9761.85,9827.0,9799.54,10101.37,10165.59,9969.44,10104.86
2026-08-01,9729.9,9729.9,9718.56,10015.3,9760.95,9824.45,9800.18,10052.29,10135.17,9897.58,10104.86
2026-08-01,9743.24,9743.24,9732.8,10066.57,9773.06,9838.16,9812.54,10045.18,10198.04,9952.15,10104.86
2026-08-01,9751.4,9751.4,9741.67,10023.3,9780.65,9841.61,9818.14,10062.7,10167.14,9921.36,10104.86
2026-08-01,9743.11,9743.11,9738.14,9968.65,9771.67,9823.87,9800.66,10025.48,10169.16,9903.62,10104.86
2026-08-01,9723.87,9723.87,9706.44,9950.25,9758.85,9816.82,9790.31,10025.94,10153.65,9862.1,10104.86
2026-08-01,9748.87,9748.87,9737.44,9965.43,9782.51,9830.31,9807.02,10059.09,10165.1,9865.2,10104.86
2026-08-01,9759.81,9759.81,9749.17,9984.45,9794.36,9833.22,9811.85,10047.28,10170.17,9865.65,10104.86
2026-08-01,9742.31,9742.31,9724.17,9832.02,9776.64,9825.37,9800.24,10018.2,10154.91,9737.48,10104.86
2026-08-01,9730.9,9730.9,9708.15,9833.6,9766.92,9815.41,9791.65,10001.54,10187.36,9759.44,10104.86
2026-08-01,9732.36,9732.36,9712.75,9838.97,9767.95,9810.36,9788.08,9980.53,10188.16,9759.27,10104.86
2026-08-01,9745.81,9745.81,9738.1,9967.41,9776.14,9818.26,9798.39,10073.26,10245.04,9859.04,10104.86
2026-08-01,9724.08,9724.08,9711.47,9943.37,9757.94,9810.42,9784.39,10018.98,10215.06,9838.98,10104.86
2026-08-01,9702.1,9702.1,9699.75,9948.46,9733.69,9781.6,9757.6,10040.48,10212.26,9838.22,10104.86
2026-08-01,9606.57,9606.57,9611.51,9956.84,9641.73,9696.45,9663.86,9970.0,10133.66,9826.19,10104.86
2026-08-01,9615.01,9615.01,9624.42,9844.67,9646.66,9693.45,9676.2,9971.62,10165.66,9732.21,10104.86
2026-08-01,9627.3,9627.3,9662.75,9844.67,9658.0,9701.46,9692.11,9940.29,10175.21,9705.28,10104.86
2026-08-01,9636.67,9636.67,9681.48,9826.29,9670.29,9713.12,9709.08,9919.69,10196.54,9716.03,10104.86
2026-08-01,9650.41,9650.41,9678.38,9837.72,9679.55,9717.49,9713.3,9948.32,10195.23,9719.48,10104.86
2026-08-01,9627.8,9627.8,9670.97,9835.97,9663.71,9709.14,9706.77,9931.56,10191.01,9719.07,10104.86
2026-08-02,9659.32,9659.32,9695.77,9836.25,9695.83,9732.72,9734.37,9949.48,10204.49,9724.74,10104.86
2026-08-02,9678.71,9678.71,9714.89,9871.22,9713.68,9749.9,9755.1,9975.91,10217.54,9748.95,10104.86
2026-08-02,9726.47,9726.47,9773.49,10039.99,9765.11,9813.07,9815.21,10108.38,10263.07,9772.2,10104.86
2026-08-02,9741.75,9741.75,9783.46,10022.78,9781.54,9828.56,9831.74,10068.03,10232.88,9775.76,10104.86
2026-08-02,9755.47,9755.47,9801.62,9831.89,9796.55,9811.25,9846.45,10087.03,10197.74,9704.26,10104.86
2026-08-02,9739.84,9739.84,9781.76,9820.57,9786.19,9800.11,9849.25,10065.15,10197.74,9703.58,10104.86
2026-08-02,9754.39,9754.39,9793.46,10011.05,9798.0,9837.19,9853.1,10038.43,10197.74,9761.9,10104.86
2026-08-02,9757.86,9757.86,9798.11,10007.0,9799.97,9837.19,9853.86,10053.72,10197.74,9761.44,10104.86
2026-08-02,9705.75,9705.75,9746.21,9905.52,9754.87,9773.55,9818.63,10046.66,10197.74,9689.37,10104.86
2026-08-02,9732.62,9732.62,9762.11,9957.6,9778.54,9804.34,9836.97,10085.44,10249.24,9731.8,10104.86
2026-08-02,9728.47,9728.47,9754.83,9920.34,9773.15,9784.73,9828.8,10029.01,10216.13,9728.54,10104.86
2026-08-02,9711.01,9711.01,9733.07,9797.69,9754.01,9776.17,9801.21,10003.77,10216.13,9687.35,10104.86
2026-08-02,9708.59,9708.59,9737.75,9852.03,9744.4,9779.81,9788.59,10032.08,10216.13,9719.96,10104.86
2026-08-02,9690.32,9690.32,9705.1,9881.39,9739.4,9784.53,9798.69,10066.15,10216.13,9719.48,10104.86
2026-08-02,9684.33,9684.33,9689.42,10006.82,9732.6,9790.8,9788.42,10049.42,10216.13,9778.63,10104.86
2026-08-02,9724.51,9724.51,9738.93,9939.2,9769.32,9795.47,9820.34,10088.32,10216.13,9737.83,10104.86
2026-08-02,9737.45,9737.45,9742.7,9919.87,9778.91,9792.71,9823.93,10062.11,10216.13,9710.53,10104.86
2026-08-02,9705.92,9705.92,9723.72,9932.12,9753.29,9789.88,9813.65,10070.75,10216.13,9708.28,10104.86
2026-08-02,9718.9,9718.9,9713.13,9962.58,9759.31,9790.57,9808.44,10116.24,10216.13,9738.45,10104.86
2026-08-02,9741.15,9741.15,9761.37,9941.34,9779.99,9793.81,9829.62,10078.12,10216.13,9742.16,10104.86
2026-08-02,9710.45,9710.45,9741.0,9950.01,9760.68,9791.81,9826.38,10102.96,10216.13,9748.18,10104.86
2026-08-02,9740.71,9740.71,9775.38,9943.4,9785.33,9799.62,9845.39,10112.67,10216.13,9753.17,10104.86
2026-08-02,9748.79,9748.79,9772.02,9943.49,9795.17,9806.12,9856.05,10095.99,10216.13,9749.59,10104.86
2026-08-02,9713.78,9713.78,9725.75,9920.08,9761.67,9780.56,9824.99,10044.31,10216.13,9738.93,10104.86
2026-08-03,9720.02,9720.02,9743.34,9926.23,9766.34,9789.81,9827.03,10029.72,10216.13,9741.44,10104.86
2026-08-03,9703.66,9703.66,9724.63,9935.84,9745.84,9774.49,9804.15,10043.52,10216.13,9733.32,10104.86
