rank,account,entry_mode,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,max_hold_hours,round_trips,win_rate,avg_win_pct,avg_loss_pct,profit_factor,final_value,pnl,pnl_pct,max_drawdown_pct,fees_paid,tds_paid
140,acc_374,momentum,28,85,8,5,20,168,110,49.091,7.801,-5.089,1.33,10114.508,114.508,1.145,9.953,147.69,703.709
141,acc_500,momentum,45,85,15,5,80,720,30,40.0,7.567,-5.935,1.276,10111.605,111.605,1.116,19.844,152.885,720.652
142,acc_078,dip,25,60,8,2,20,0,27,70.37,3.346,-2.501,2.537,10111.242,111.242,1.112,1.647,84.584,426.027
143,acc_043,dip,18,76,12,1,20,720,8,37.5,6.969,-1.574,2.656,10097.476,97.476,0.975,2.867,27.833,140.494
144,acc_038,dip,18,72,5,2,20,0,9,66.667,3.94,-2.661,2.662,10092.163,92.163,0.922,1.731,33.266,167.797
145,acc_016,dip,15,76,3,5,30,336,4,75.0,2.917,-0.229,20.38,10088.756,88.756,0.888,2.061,20.698,104.559
146,acc_057,dip,22,64,10,2,10,0,15,60.0,4.625,-2.46,2.545,10086.373,86.373,0.864,0.818,28.353,143.055
147,acc_083,dip,25,68,2,1,20,720,28,67.857,2.782,-1.731,2.982,10085.772,85.772,0.858,1.504,103.26,519.846
148,acc_073,dip,22,85,3,5,10,0,12,83.333,3.386,-5.691,2.867,10084.378,84.378,0.844,1.075,22.37,112.951
149,acc_044,dip,18,80,2,2,80,72,9,77.778,2.919,-2.7,2.506,10082.086,82.086,0.821,3.897,118.272,595.336
150,acc_133,dip,30,68,2,1.5,40,336,79,69.62,2.717,-2.069,2.561,10077.61,77.61,0.776,3.565,299.389,1506.362
151,acc_049,dip,18,85,6,1.5,10,0,8,50.0,6.13,-1.686,3.263,10075.073,75.073,0.751,1.431,14.833,74.99
152,acc_137,dip,30,72,3,2,10,72,73,61.644,3.35,-2.166,2.328,10072.253,72.253,0.723,1.589,108.617,546.725
153,acc_089,dip,25,72,10,1.5,10,72,26,53.846,4.362,-1.954,2.368,10067.376,67.376,0.674,1.766,45.584,229.635
154,acc_059,dip,22,68,4,2,20,720,16,56.25,4.669,-2.478,2.031,10066.413,66.413,0.664,1.344,58.402,294.107
155,acc_124,dip,28,85,6,2,80,72,26,53.846,5.094,-2.08,1.845,10062.062,62.062,0.621,12.205,197.913,995.846
156,acc_097,dip,25,80,15,2,10,72,25,48.0,4.968,-2.023,2.171,10061.366,61.366,0.614,1.892,42.36,213.387
157,acc_030,dip,18,64,3,1.5,20,0,9,66.667,3.308,-2.041,2.777,10053.922,53.922,0.539,1.166,34.577,174.2
158,acc_142,dip,30,76,8,1,20,0,57,29.825,7.369,-1.608,1.518,10052.48,52.48,0.525,5.016,108.718,515.782
159,acc_006,dip,15,64,5,3,10,720,5,80.0,2.95,-0.583,15.866,10051.73,51.73,0.517,0.572,9.922,50.167
160,acc_008,dip,15,64,15,3,30,336,4,75.0,2.493,-0.583,8.945,10050.533,50.533,0.505,1.718,22.384,112.848
161,acc_041,dip,18,76,4,1,10,0,9,55.556,4.571,-1.812,2.756,10045.774,45.774,0.458,0.891,17.536,88.44
162,acc_081,dip,25,64,6,1,10,72,27,55.556,3.721,-1.685,2.471,10043.803,43.803,0.438,0.881,49.846,250.952
163,acc_191,dip,36,76,4,3,60,336,55,61.818,4.48,-3.456,1.673,10033.567,33.567,0.336,7.74,181.494,909.002
164,acc_017,dip,15,76,6,2,10,0,5,60.0,4.812,-2.7,2.461,10030.017,30.017,0.3,0.917,9.502,47.947
165,acc_051,dip,22,60,2,1.5,20,720,16,68.75,2.752,-2.052,2.59,10022.155,22.155,0.222,1.329,59.714,300.482
166,acc_187,dip,36,72,3,3,30,0,109,68.807,3.64,-3.633,1.792,10013.125,13.125,0.131,5.847,195.933,976.092
167,acc_492,momentum,45,76,10,3,80,720,89,39.326,7.642,-3.856,1.307,10003.831,3.831,0.038,13.837,257.213,1244.799
168,acc_053,dip,22,60,8,1.5,40,336,16,56.25,4.355,-2.187,1.899,10002.234,2.234,0.022,2.382,105.546,530.922
169,acc_091,dip,25,76,4,1.5,20,720,26,53.846,4.478,-2.15,1.896,10000.681,0.681,0.007,2.429,77.452,389.598
170,acc_009,dip,15,68,4,1.5,10,0,6,50.0,4.296,-2.041,1.818,9993.887,-6.113,-0.061,0.901,11.664,58.64
171,acc_096,dip,25,80,8,5,30,720,17,58.824,5.548,-6.37,1.19,9992.335,-7.665,-0.077,6.947,44.469,208.248
172,acc_391,momentum,30,76,5,3,60,720,134,55.224,5.391,-3.583,1.537,9991.61,-8.39,-0.084,10.634,271.38,1318.406
173,acc_014,dip,15,72,8,5,10,720,3,33.333,3.56,-0.44,2.884,9991.101,-8.899,-0.089,0.94,5.818,29.222
174,acc_178,dip,36,60,8,5,50,336,83,77.108,2.714,-3.569,2.238,9986.496,-13.504,-0.135,7.456,239.06,1199.681
175,acc_131,dip,30,64,6,1.5,30,0,72,55.556,4.015,-2.159,1.931,9986.281,-13.719,-0.137,3.392,173.545,865.643
176,acc_021,dip,15,80,8,2,40,336,5,60.0,3.668,-2.7,1.768,9983.23,-16.77,-0.168,2.771,32.343,162.603
177,acc_025,dip,15,85,10,3,10,0,4,50.0,4.79,-3.313,1.329,9983.227,-16.773,-0.168,1.318,7.798,39.141
178,acc_048,dip,18,85,3,3,30,336,7,71.429,3.075,-3.313,1.799,9979.072,-20.928,-0.209,2.848,36.564,183.815
179,acc_012,dip,15,72,2,3,80,72,5,80.0,2.518,-2.97,2.263,9974.923,-25.077,-0.251,4.498,67.747,340.652
180,acc_019,dip,15,80,2,2,20,720,6,66.667,2.807,-2.7,1.812,9974.065,-25.935,-0.259,1.202,23.254,116.839
181,acc_063,dip,22,72,5,2,60,168,16,56.25,4.904,-2.478,1.736,9971.301,-28.699,-0.287,5.217,136.98,688.886
182,acc_061,dip,22,68,12,2,40,336,15,53.333,4.819,-2.439,1.674,9965.988,-34.012,-0.34,5.723,84.669,425.727
183,acc_206,dip,40,64,6,3,20,72,162,59.877,3.828,-2.665,1.809,9962.831,-37.169,-0.372,6.005,228.027,1138.173
184,acc_082,dip,25,64,10,2,50,168,26,57.692,4.176,-2.345,1.842,9962.194,-37.806,-0.378,3.593,126.132,634.273
185,acc_064,dip,22,72,10,1,30,720,16,37.5,6.236,-1.78,1.709,9954.346,-45.654,-0.457,4.63,74.013,372.067
186,acc_340,momentum,25,76,2,5,80,336,69,78.261,2.823,-4.971,1.898,9952.08,-47.92,-0.479,11.635,298.298,1451.837
187,acc_144,dip,30,80,3,1,30,720,82,48.78,3.667,-1.624,2.049,9951.647,-48.353,-0.484,4.488,242.775,1205.769
188,acc_127,dip,30,60,5,1,60,168,69,59.42,3.433,-1.613,2.19,9950.491,-49.509,-0.495,6.287,326.384,1621.854
189,acc_003,dip,15,60,8,1,20,720,6,50.0,3.772,-2.041,1.464,9946.343,-53.657,-0.537,1.796,22.566,113.242
190,acc_085,dip,25,68,8,1,40,336,26,38.462,4.915,-1.636,1.828,9939.064,-60.936,-0.609,4.906,124.882,627.869
191,acc_015,dip,15,72,15,1.5,60,72,5,60.0,3.245,-1.771,1.821,9934.476,-65.524,-0.655,3.479,49.602,249.178
192,acc_007,dip,15,64,10,1,60,72,5,60.0,3.209,-1.771,1.765,9922.173,-77.827,-0.778,3.256,49.635,249.281
193,acc_233,dip,45,68,2,5,10,168,167,78.443,2.769,-4.924,1.81,9921.027,-78.973,-0.79,4.721,191.548,957.995
194,acc_214,dip,40,72,10,5,20,72,106,51.887,4.302,-2.593,1.547,9913.572,-86.428,-0.864,7.673,159.078,772.21
195,acc_093,dip,25,76,12,1.5,40,336,23,39.13,6.454,-2.016,1.572,9910.048,-89.952,-0.9,6.036,85.883,431.551
