asset,entry_time,entry_price,rsi_at_entry,exit_time,exit_price,reason,pnl_inr,pnl_pct
LINKINR,2026-08-03T13:00+00:00,811.37,29.8,2026-08-11T10:00+00:00,863.57,take_profit,453.23,6.33
XRPINR,2026-08-10T23:00+00:00,100.55,29.7,2026-08-11T15:00+00:00,98.06,stop_loss,-421.35,-2.57
NEARINR,2026-08-07T19:00+00:00,159.33,29.1,2026-08-11T15:00+00:00,151.98,stop_loss,-840.74,-4.71
TRBINR,2026-08-08T02:00+00:00,1359.08,30.0,2026-08-11T15:00+00:00,1327.14,stop_loss,-352.15,-2.45
NEARINR,2026-08-11T16:00+00:00,153.60,28.5,2026-08-12T00:00+00:00,161.28,take_profit,461.22,4.90
TRBINR,2026-08-11T20:00+00:00,1307.45,27.5,2026-08-12T03:00+00:00,1420.29,take_profit,292.01,8.52
ORCAINR,2026-08-11T08:00+00:00,105.46,18.9,2026-08-12T04:00+00:00,103.33,stop_loss,-210.18,-2.12
JUPINR,2026-08-12T03:00+00:00,17.46,28.8,2026-08-12T10:00+00:00,17.04,stop_loss,-200.28,-2.55
GASINR,2026-08-11T15:00+00:00,90.78,17.4,2026-08-12T14:00+00:00,94.24,rsi_overbought,579.43,3.71
ORCAINR,2026-08-12T05:00+00:00,103.43,25.6,2026-08-14T07:00+00:00,101.18,stop_loss,-194.76,-2.28
ADAINR,2026-08-11T15:00+00:00,18.23,28.9,2026-08-14T12:00+00:00,17.86,stop_loss,-592.79,-2.12
FILINR,2026-08-13T00:00+00:00,67.07,29.2,2026-08-14T13:00+00:00,65.47,stop_loss,-134.53,-2.49
BTCINR,2026-08-10T17:00+00:00,6358242.53,28.8,2026-08-14T16:00+00:00,6231297.19,stop_loss,-153.49,-2.09
ONDOINR,2026-08-11T16:00+00:00,32.92,29.5,2026-08-14T18:00+00:00,32.10,stop_loss,-153.92,-2.56
TRUMPINR,2026-08-12T22:00+00:00,137.97,28.1,2026-08-14T21:00+00:00,144.55,take_profit,657.89,4.66
CHILLGUYINR,2026-08-14T15:00+00:00,1.02,28.5,2026-08-14T21:00+00:00,1.06,take_profit,566.04,4.09
ARBINR,2026-08-12T23:00+00:00,7.41,28.8,2026-08-14T23:00+00:00,7.25,stop_loss,-210.04,-2.33
GASINR,2026-08-14T06:00+00:00,90.78,25.1,2026-08-15T03:00+00:00,94.63,take_profit,125.66,4.14
ORCAINR,2026-08-14T08:00+00:00,101.28,19.4,2026-08-16T04:00+00:00,103.63,rsi_overbought,106.57,2.22
CAKEINR,2026-08-14T11:00+00:00,138.26,29.0,2026-08-16T15:00+00:00,144.40,take_profit,128.01,4.34
GASINR,2026-08-18T04:00+00:00,93.60,19.5,2026-08-18T16:00+00:00,90.87,stop_loss,-223.03,-3.01
DOTINR,2026-08-18T04:00+00:00,72.30,29.7,2026-08-19T07:00+00:00,75.84,take_profit,559.65,4.79
GASINR,2026-08-18T17:00+00:00,90.96,19.5,2026-08-19T12:00+00:00,95.15,take_profit,310.57,4.51
ETHINR,2026-08-10T16:00+00:00,187006.16,28.3,2026-08-19T15:00+00:00,194039.43,rsi_overbought,416.43,3.66
SUIINR,2026-08-18T03:00+00:00,63.92,25.8,2026-08-19T15:00+00:00,66.67,take_profit,1358.28,4.20
FILINR,2026-08-18T03:00+00:00,61.27,16.7,2026-08-19T16:00+00:00,64.92,take_profit,1143.11,5.85
TRBINR,2026-08-18T19:00+00:00,1272.64,28.3,2026-08-19T21:00+00:00,1326.44,take_profit,170.04,4.12
SUIINR,2026-08-25T20:00+00:00,77.04,27.3,2026-08-25T21:00+00:00,74.96,stop_loss,-675.53,-2.79
FILINR,2026-08-25T21:00+00:00,70.24,30.0,2026-08-26T02:00+00:00,73.26,take_profit,944.61,4.21
SUIINR,2026-08-25T22:00+00:00,75.88,28.5,2026-08-26T15:00+00:00,73.26,stop_loss,-503.54,-3.55
TRUMPINR,2026-08-25T23:00+00:00,219.50,28.6,2026-08-27T00:00+00:00,233.38,take_profit,506.69,6.22
XRPINR,2026-08-26T15:00+00:00,136.94,28.5,2026-08-27T09:00+00:00,143.37,take_profit,649.41,4.60
SUIINR,2026-08-26T17:00+00:00,73.01,28.4,2026-08-27T09:00+00:00,77.18,take_profit,276.64,5.62
ADAINR,2026-08-26T16:00+00:00,20.41,27.8,2026-08-27T09:00+00:00,21.33,take_profit,598.99,4.40
ARBINR,2026-08-26T16:00+00:00,8.89,29.5,2026-08-27T09:00+00:00,9.29,take_profit,357.22,4.37
GASINR,2026-08-28T18:00+00:00,125.08,28.4,2026-08-28T19:00+00:00,130.99,take_profit,644.10,4.62
RIFINR,2026-08-29T03:00+00:00,7.48,26.1,2026-08-29T07:00+00:00,7.33,stop_loss,-237.95,-2.06
APTINR,2026-08-28T17:00+00:00,53.58,28.6,2026-08-29T18:00+00:00,55.76,take_profit,921.05,3.97
NEARINR,2026-08-28T19:00+00:00,181.10,29.7,2026-08-29T21:00+00:00,188.63,take_profit,337.74,4.05
RIFINR,2026-08-29T12:00+00:00,7.30,28.1,2026-08-30T02:00+00:00,7.15,stop_loss,-248.83,-2.18
CHILLGUYINR,2026-08-30T08:00+00:00,1.25,24.1,2026-08-30T09:00+00:00,1.21,stop_loss,-565.28,-3.82
CHILLGUYINR,2026-08-30T10:00+00:00,1.21,21.5,2026-08-30T13:00+00:00,1.27,take_profit,710.31,5.12
