date,signal_value
2026-08-05,103090.56
2026-08-05,102958.28
2026-08-05,102807.7
2026-08-05,102705.63
2026-08-06,102947.57
2026-08-06,102937.45
2026-08-06,102813.46
2026-08-06,102622.65
2026-08-06,102268.18
2026-08-06,102297.36
2026-08-06,101785.2
2026-08-06,101411.6
2026-08-06,101349.32
2026-08-06,101134.15
2026-08-06,101043.91
2026-08-06,101106.0
2026-08-06,100744.88
2026-08-06,100503.86
2026-08-06,100567.53
2026-08-06,100546.31
2026-08-06,101096.53
2026-08-06,100908.82
2026-08-06,100580.14
2026-08-06,100477.07
2026-08-06,100519.94
2026-08-06,100727.6
2026-08-06,100546.36
2026-08-06,100439.69
2026-08-07,100436.8
2026-08-07,100437.1
2026-08-07,100287.3
2026-08-07,100121.11
2026-08-07,99933.29
2026-08-07,99749.26
2026-08-07,99828.44
2026-08-07,99865.36
2026-08-07,100301.78
2026-08-07,100222.45
2026-08-07,100299.51
2026-08-07,100459.91
2026-08-07,100451.71
2026-08-07,100562.16
2026-08-07,100320.39
2026-08-07,100347.04
2026-08-07,100060.78
2026-08-07,99857.99
2026-08-07,99972.67
2026-08-07,100191.14
2026-08-07,100199.91
2026-08-07,100024.65
2026-08-07,99853.83
2026-08-07,100017.98
2026-08-08,100026.34
2026-08-08,100536.49
2026-08-08,100423.79
2026-08-08,100891.63
2026-08-08,100927.8
2026-08-08,100741.56
2026-08-08,100677.09
2026-08-08,100611.16
2026-08-08,100603.62
2026-08-08,100354.92
2026-08-08,100597.61
2026-08-08,99918.0
2026-08-08,99915.65
2026-08-08,99830.91
2026-08-08,99964.05
2026-08-08,99967.8
2026-08-08,99972.05
2026-08-08,100396.13
2026-08-08,100174.39
2026-08-08,100271.74
2026-08-08,100209.56
2026-08-08,100105.01
2026-08-08,100153.96
2026-08-08,100163.75
2026-08-09,100188.92
2026-08-09,100182.84
2026-08-09,100085.15
2026-08-09,99641.56
2026-08-09,99769.64
2026-08-09,99620.8
2026-08-09,99665.16
2026-08-09,99613.29
2026-08-09,99567.29
2026-08-09,99550.19
2026-08-09,99586.9
2026-08-09,99676.33
2026-08-09,99651.5
2026-08-09,99772.74
2026-08-09,99965.81
2026-08-09,100954.92
2026-08-09,100857.75
2026-08-09,100760.44
2026-08-09,100822.61
2026-08-09,100771.09
2026-08-09,100774.57
2026-08-09,100712.62
2026-08-09,100634.26
2026-08-09,100525.09
2026-08-10,100686.17
2026-08-10,100098.79
2026-08-10,100272.03
2026-08-10,100190.0
2026-08-10,100606.91
2026-08-10,100699.03
2026-08-10,100779.58
2026-08-10,100755.02
2026-08-10,100615.66
2026-08-10,100538.56
2026-08-10,100550.83
2026-08-10,100479.43
2026-08-10,100432.11
2026-08-10,100274.89
2026-08-10,100305.8
2026-08-10,100225.25
2026-08-10,100014.98
2026-08-10,100084.46
2026-08-10,100644.68
2026-08-10,100622.03
2026-08-10,100674.9
2026-08-10,100564.75
2026-08-10,100489.37
2026-08-10,100451.97
2026-08-11,100623.62
2026-08-11,100765.64
2026-08-11,100697.95
2026-08-11,100652.59
2026-08-11,100561.14
2026-08-11,100459.7
2026-08-11,100469.07
2026-08-11,100159.69
2026-08-11,99864.99
2026-08-11,99982.99
2026-08-11,99946.21
2026-08-11,100011.42
2026-08-11,100054.26
2026-08-11,100091.33
2026-08-11,98803.66
2026-08-11,98598.33
2026-08-11,98587.9
2026-08-11,98820.3
2026-08-11,98678.03
2026-08-11,98911.49
2026-08-11,99114.11
2026-08-11,99019.88
2026-08-11,99209.32
2026-08-11,99375.33
2026-08-12,99376.41
2026-08-12,99503.79
2026-08-12,99821.67
2026-08-12,99890.67
2026-08-12,100057.1
2026-08-12,99948.24
2026-08-12,99598.92
2026-08-12,99547.15
2026-08-12,99561.65
2026-08-12,99590.98
2026-08-12,99614.31
2026-08-12,99763.91
2026-08-12,99340.25
2026-08-12,99743.81
2026-08-12,99152.25
2026-08-12,99084.49
2026-08-12,99192.1
2026-08-12,99375.46
2026-08-12,99308.72
2026-08-12,98979.09
2026-08-12,99043.9
2026-08-12,98937.94
2026-08-12,98926.6
2026-08-12,98915.4
2026-08-13,99097.93
2026-08-13,99208.33
2026-08-13,99354.79
2026-08-13,99740.97
2026-08-13,99813.58
2026-08-13,99956.89
2026-08-13,99938.62
2026-08-13,99792.58
2026-08-13,100064.21
2026-08-13,99987.41
2026-08-13,99474.09
2026-08-13,99208.92
2026-08-13,99450.44
2026-08-13,99519.84
2026-08-13,99800.97
2026-08-13,99117.31
2026-08-13,98734.6
2026-08-13,98954.97
2026-08-13,99149.77
2026-08-13,98977.33
2026-08-13,99044.27
2026-08-13,98974.39
2026-08-13,99115.5
2026-08-13,99037.93
2026-08-14,98961.99
2026-08-14,99116.33
2026-08-14,99152.31
2026-08-14,98434.47
2026-08-14,98535.49
2026-08-14,98902.97
2026-08-14,98685.7
2026-08-14,98548.03
2026-08-14,98650.73
2026-08-14,98566.61
2026-08-14,98311.95
2026-08-14,98262.94
2026-08-14,97892.77
2026-08-14,97671.68
2026-08-14,97780.07
2026-08-14,98012.8
2026-08-14,98519.83
2026-08-14,98441.96
2026-08-14,98339.82
2026-08-14,98547.87
2026-08-14,98919.93
2026-08-14,98724.38
2026-08-14,98478.25
2026-08-14,98438.6
2026-08-15,98571.95
2026-08-15,98620.51
2026-08-15,98685.68
2026-08-15,98633.16
2026-08-15,98634.06
2026-08-15,98591.12
2026-08-15,98631.7
2026-08-15,98626.46
2026-08-15,98550.04
2026-08-15,98620.5
2026-08-15,98626.98
2026-08-15,98629.41
2026-08-15,98451.9
2026-08-15,98562.71
2026-08-15,98484.57
2026-08-15,98463.18
2026-08-15,98576.65
2026-08-15,98481.28
2026-08-15,98541.45
2026-08-15,98428.67
2026-08-15,98545.53
2026-08-15,98575.41
2026-08-15,98492.06
2026-08-15,98533.82
2026-08-16,98535.21
2026-08-16,98520.83
2026-08-16,98436.26
2026-08-16,98475.99
2026-08-16,98497.31
2026-08-16,98497.73
2026-08-16,98421.52
2026-08-16,98409.42
2026-08-16,98421.05
2026-08-16,98447.32
2026-08-16,98442.15
2026-08-16,98512.5
2026-08-16,98450.8
2026-08-16,98431.47
2026-08-16,98475.05
2026-08-16,98457.61
2026-08-16,98524.65
2026-08-16,98438.01
2026-08-16,98481.06
2026-08-16,98544.48
2026-08-16,98434.26
2026-08-16,98384.19
2026-08-16,98332.06
2026-08-16,98373.61
2026-08-17,98358.07
2026-08-17,98492.5
2026-08-17,98697.5
2026-08-17,98747.64
2026-08-17,98715.35
2026-08-17,98734.87
2026-08-17,98787.06
2026-08-17,98739.96
2026-08-17,98535.19
2026-08-17,98583.27
2026-08-17,98800.09
2026-08-17,98775.44
2026-08-17,98684.65
2026-08-17,98725.37
2026-08-17,98786.36
2026-08-17,98974.31
2026-08-17,98856.11
2026-08-17,98940.86
2026-08-17,98923.86
2026-08-17,99004.18
2026-08-17,99032.49
2026-08-17,98880.74
2026-08-17,98862.96
2026-08-17,99096.15
2026-08-18,99034.59
2026-08-18,98968.92
2026-08-18,98843.87
2026-08-18,99333.49
2026-08-18,99305.87
2026-08-18,99516.58
2026-08-18,99585.85
2026-08-18,99562.23
2026-08-18,99327.12
2026-08-18,99594.8
2026-08-18,99915.2
2026-08-18,99811.45
2026-08-18,99716.96
2026-08-18,99687.08
2026-08-18,100634.17
2026-08-18,100175.88
2026-08-18,100343.28
2026-08-18,100136.25
2026-08-18,100247.86
2026-08-18,100275.24
2026-08-18,100032.8
2026-08-18,99960.57
2026-08-18,99807.29
2026-08-18,100159.45
2026-08-19,100058.1
2026-08-19,100258.02
2026-08-19,100239.14
2026-08-19,100264.06
2026-08-19,100494.71
2026-08-19,100370.54
2026-08-19,100473.71
2026-08-19,100442.59
2026-08-19,100356.28
2026-08-19,100573.34
2026-08-19,100614.55
2026-08-19,100738.82
2026-08-19,100663.96
2026-08-19,100629.78
2026-08-19,101581.46
2026-08-19,102719.47
2026-08-19,102241.92
2026-08-19,102241.92
2026-08-19,102241.92
2026-08-19,102241.92
2026-08-19,102274.51
2026-08-19,102236.26
2026-08-19,102236.26
2026-08-19,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-20,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-21,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-22,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102236.26
2026-08-23,102547.73
2026-08-23,102484.91
2026-08-24,102568.67
2026-08-24,102757.13
2026-08-24,102757.13
2026-08-24,102581.23
2026-08-24,102631.49
2026-08-24,102635.67
2026-08-24,102685.93
2026-08-24,102761.31
2026-08-24,102752.94
2026-08-24,102664.99
2026-08-24,102799.01
2026-08-24,102861.83
2026-08-24,102861.83
2026-08-24,102891.14
2026-08-24,102828.32
2026-08-24,102886.95
2026-08-24,102945.59
2026-08-24,102899.52
2026-08-24,102920.46
2026-08-24,103113.11
2026-08-24,103113.11
2026-08-24,103113.11
2026-08-24,102845.07
2026-08-24,102853.45
2026-08-25,102853.45
2026-08-25,102849.26
2026-08-25,103075.41
2026-08-25,102970.71
2026-08-25,103054.47
2026-08-25,103012.59
2026-08-25,102983.28
2026-08-25,103096.35
2026-08-25,103201.05
2026-08-25,103188.49
2026-08-25,103314.13
2026-08-25,103230.37
2026-08-25,103322.51
2026-08-25,103217.81
2026-08-25,102987.47
2026-08-25,103213.62
2026-08-25,103054.47
2026-08-25,103201.05
2026-08-25,103016.78
2026-08-25,103209.43
2026-08-25,102536.48
2026-08-25,102775.83
2026-08-25,102442.34
2026-08-25,102771.74
2026-08-26,102853.94
2026-08-26,103346.73
2026-08-26,103152.72
2026-08-26,102867.59
2026-08-26,102981.22
2026-08-26,103357.02
2026-08-26,103448.11
2026-08-26,103247.37
2026-08-26,102944.52
2026-08-26,102808.81
2026-08-26,103111.86
2026-08-26,102978.33
2026-08-26,102910.95
2026-08-26,102856.13
2026-08-26,102379.96
2026-08-26,101990.91
2026-08-26,102087.58
2026-08-26,102519.26
2026-08-26,102183.05
2026-08-26,102259.09
2026-08-26,102337.3
2026-08-26,102995.51
2026-08-26,103243.96
2026-08-26,104077.94
2026-08-27,103719.76
2026-08-27,103991.21
2026-08-27,103602.18
2026-08-27,103560.68
2026-08-27,103413.16
2026-08-27,103587.85
2026-08-27,103772.81
2026-08-27,103669.51
2026-08-27,104603.19
2026-08-27,104255.6
2026-08-27,104255.6
2026-08-27,104209.54
2026-08-27,104226.29
2026-08-27,104255.6
2026-08-27,104280.73
2026-08-27,104284.92
2026-08-27,104377.06
2026-08-27,104381.24
2026-08-27,104234.66
2026-08-27,104234.66
2026-08-27,104226.29
2026-08-27,104226.29
2026-08-27,104217.91
2026-08-27,104217.91
2026-08-28,104217.91
2026-08-28,104289.11
2026-08-28,104247.23
2026-08-28,104377.06
2026-08-28,104368.68
2026-08-28,104226.29
2026-08-28,104134.15
2026-08-28,104243.04
2026-08-28,104238.85
2026-08-28,104092.27
2026-08-28,104092.27
2026-08-28,104155.09
2026-08-28,104117.4
2026-08-28,104205.35
