rank,account,entry_mode,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,max_hold_hours,value_inr,cash_inr,holdings_inr,realized_pnl_inr,trades
153,acc_418,momentum,33.0,76.0,15.0,5.0,60.0,0.0,9613.02,733.27,8879.75,-246.56,14
154,acc_136,dip,30.0,68.0,12.0,5.0,30.0,720.0,9611.37,6789.28,2822.1,-194.24,11
155,acc_004,dip,15.0,60.0,12.0,2.0,80.0,72.0,9606.21,9606.21,0,-316.88,2
156,acc_012,dip,15.0,72.0,2.0,3.0,80.0,72.0,9606.21,9606.21,0,-316.88,2
157,acc_028,dip,18.0,60.0,8.0,1.0,80.0,72.0,9606.21,9606.21,0,-316.88,2
158,acc_036,dip,18.0,68.0,12.0,1.5,80.0,72.0,9606.21,9606.21,0,-316.88,2
159,acc_044,dip,18.0,80.0,2.0,2.0,80.0,72.0,9606.21,9606.21,0,-316.88,2
160,acc_052,dip,22.0,60.0,4.0,3.0,80.0,72.0,9606.21,9606.21,0,-316.88,2
161,acc_068,dip,22.0,76.0,12.0,1.0,80.0,72.0,9606.21,9606.21,0,-316.88,2
162,acc_198,dip,36.0,85.0,4.0,2.0,20.0,72.0,9606.07,4955.97,4650.09,-76.07,51
163,acc_096,dip,25.0,80.0,8.0,5.0,30.0,720.0,9603.83,9603.83,0,-348.61,4
164,acc_126,dip,30.0,60.0,2.0,3.0,20.0,0.0,9596.94,7723.31,1873.64,-257.8,11
165,acc_395,momentum,30.0,80.0,6.0,5.0,30.0,72.0,9596.21,1201.16,8395.05,-186.81,41
166,acc_471,momentum,40.0,80.0,12.0,3.0,60.0,720.0,9594.7,748.67,8846.03,-288.39,18
167,acc_338,momentum,25.0,72.0,6.0,5.0,50.0,720.0,9594.6,586.69,9007.91,-134.26,20
168,acc_437,momentum,36.0,72.0,4.0,5.0,50.0,0.0,9594.6,586.69,9007.91,-134.26,20
169,acc_389,momentum,30.0,72.0,12.0,3.0,50.0,0.0,9593.47,888.74,8704.72,-314.98,25
170,acc_417,momentum,33.0,76.0,10.0,2.0,10.0,336.0,9591.38,4535.94,5055.44,-372.11,49
171,acc_112,dip,28.0,72.0,3.0,1.5,30.0,720.0,9591.3,9591.3,0,-302.86,8
172,acc_414,momentum,33.0,72.0,12.0,5.0,20.0,168.0,9588.28,2497.61,7090.67,-255.63,36
173,acc_385,momentum,30.0,68.0,10.0,3.0,10.0,336.0,9582.03,4668.25,4913.78,-234.03,63
174,acc_018,dip,15.0,76.0,10.0,5.0,50.0,168.0,9580.53,9580.53,0,-373.16,2
175,acc_058,dip,22.0,64.0,15.0,5.0,50.0,168.0,9580.53,9580.53,0,-373.16,2
176,acc_128,dip,30.0,60.0,8.0,3.0,30.0,720.0,9579.56,6766.04,2813.52,-207.45,11
177,acc_494,momentum,45.0,80.0,4.0,5.0,20.0,336.0,9578.5,2374.97,7203.53,-267.25,28
178,acc_199,dip,36.0,85.0,6.0,5.0,60.0,336.0,9573.82,1051.47,8522.35,-127.97,23
179,acc_103,dip,28.0,60.0,8.0,2.0,60.0,168.0,9568.71,9568.71,0,-237.08,8
180,acc_439,momentum,36.0,72.0,12.0,5.0,60.0,720.0,9568.68,426.22,9142.47,-84.39,18
181,acc_140,dip,30.0,72.0,15.0,5.0,80.0,168.0,9568.29,1961.01,7607.28,-17.36,9
182,acc_391,momentum,30.0,76.0,5.0,3.0,60.0,720.0,9559.25,547.19,9012.06,-356.34,19
183,acc_181,dip,36.0,64.0,6.0,2.0,40.0,720.0,9553.62,2086.75,7466.87,-47.2,43
184,acc_448,momentum,36.0,85.0,5.0,3.0,40.0,72.0,9547.65,753.32,8794.33,-233.01,38
185,acc_131,dip,30.0,64.0,6.0,1.5,30.0,0.0,9542.72,6740.23,2802.49,-236.56,11
186,acc_258,momentum,15.0,68.0,2.0,5.0,50.0,720.0,9541.63,610.67,8930.96,-127.7,35
187,acc_366,momentum,28.0,76.0,5.0,3.0,20.0,168.0,9537.24,2256.92,7280.32,-280.61,55
188,acc_192,dip,36.0,76.0,8.0,1.5,30.0,720.0,9535.63,3301.2,6234.43,-77.04,49
189,acc_488,momentum,45.0,72.0,8.0,3.0,40.0,72.0,9533.7,1094.26,8439.44,-398.62,28
190,acc_085,dip,25.0,68.0,8.0,1.0,40.0,336.0,9533.32,9533.32,0,-391.31,4
191,acc_093,dip,25.0,76.0,12.0,1.5,40.0,336.0,9533.32,9533.32,0,-391.31,4
192,acc_267,momentum,15.0,76.0,8.0,3.0,30.0,72.0,9528.85,1282.47,8246.38,-344.5,40
193,acc_225,dip,40.0,85.0,12.0,3.0,10.0,168.0,9514.73,4937.4,4577.33,-462.22,46
194,acc_160,dip,33.0,68.0,8.0,2.0,30.0,720.0,9508.02,4700.88,4807.15,-223.28,22
195,acc_315,momentum,22.0,76.0,2.0,5.0,30.0,72.0,9506.19,1576.88,7929.31,-131.43,53
196,acc_119,dip,28.0,80.0,2.0,5.0,60.0,168.0,9506.0,7198.66,2307.34,-425.85,7
